pid,label,description_en,languages,location,length,year_created,embed_url,_tags,rights,order,layout,collection,thumbnail,full,manifest
fal-vi-001,Liming,"Two signers from Falmouth, one hearing and one deaf, talk about liming",Falmouth signing,"Falmouth, Guyana",5:00,November 2019,www.youtube.com/embed/0tfvJYyiRYQ,conversation|hearing-people,unknown,0,deafcaribbeanhistories_item,deafcaribbeanhistories,"/img/derivatives/iiif/images/fal-vi-001/full/250,/0/default.jpg","/img/derivatives/iiif/images/fal-vi-001/full/1140,/0/default.jpg",/img/derivatives/iiif/fal-vi-001/manifest.json
fal-vi-002,Conversation between two people,"Two signers from Falmouth, one hearing and one deaf, have a conversation",Falmouth signing,"Falmouth, Guyana",5:00,November 2019,www.youtube.com/embed/3HSP8aDTDHo,conversation|hearing-people,unknown,1,deafcaribbeanhistories_item,deafcaribbeanhistories,"/img/derivatives/iiif/images/fal-vi-002/full/250,/0/default.jpg","/img/derivatives/iiif/images/fal-vi-002/full/1140,/0/default.jpg",/img/derivatives/iiif/fal-vi-002/manifest.json
